HJD,Detr_Norm_Flux
2454962.713434,1.000029
2454962.733869,1.000184
2454962.754303,0.999677
2454962.774738,1.000096
2454962.795172,1.000022
2454962.815607,0.999944
2454962.836041,0.999806
2454962.856475,0.999923
2454962.876910,0.999944
2454962.897344,1.000005
2454962.917779,1.000015
2454962.938213,0.999956
2454962.958647,0.999898
2454962.979082,1.000102
2454962.999516,0.999870
2454963.019951,0.999860
2454963.040385,0.999720
2454963.060820,0.999789
2454963.081254,0.999974
2454963.101688,0.999888
2454963.122123,1.000004
2454963.142557,0.999910
2454963.162992,1.000026
2454963.183426,0.999926
2454963.203861,0.999952
2454963.224295,1.000088
2454963.244729,1.000090
2454964.511666,0.999922
2454964.532100,1.000079
2454964.552535,1.000001
2454964.572969,0.999915
2454964.593404,0.999861
2454964.613838,0.999878
2454964.634272,0.999820
2454964.654707,0.999939
2454964.675141,0.999970
2454964.695576,1.000034
2454964.716010,1.000069
2454964.736445,1.000046
2454964.756879,1.000011
2454964.777313,0.999855
2454964.797748,0.999920
2454964.818182,0.999961
2454964.838617,0.999929
2454964.859051,0.999868
2454964.879486,1.000049
2454964.899920,0.999997
2454964.920355,0.999878
2454964.940789,0.999992
2454964.961223,0.999931
2454964.981658,1.000139
2454965.002092,1.000066
2454965.022527,1.000020
2454965.042961,1.000144
2454965.063396,1.000128
2454965.083830,0.999970
2454965.104264,0.999958
2454965.124699,0.999904
2454965.145133,1.000048
2454965.165568,0.999926
2454965.186002,0.999824
2454965.206437,0.999987
2454965.226871,0.999955
2454965.247305,0.999974
2454965.267740,0.999995
2454965.288174,0.999904
2454965.308609,1.000056
2454965.329043,0.999988
2454965.349478,0.999967
2454965.369912,0.999982
2454965.390346,1.000002
2454965.410781,0.999912
2454965.431215,1.000038
2454965.451650,0.999896
2454965.472084,1.000053
2454965.492519,0.999697
2454965.512953,0.999830
2454965.533387,0.999951
2454965.553822,0.999927
2454965.574256,1.000016
2454965.594691,1.000043
2454965.615125,1.000025
2454965.635560,1.000029
2454965.655994,0.999925
2454965.676429,0.999992
2454965.696863,0.999942
2454965.717297,0.999855
2454965.737732,0.999980
2454965.758166,0.999885
2454965.778601,0.999905
2454965.799035,0.999939
2454965.819470,1.000026
2454965.839904,0.999887
2454965.860338,1.000056
2454965.880773,0.999987
2454965.901207,0.999930
2454965.921642,0.999920
2454965.942076,0.999998
2454965.962511,1.000076
2454965.982945,0.999850
2454966.003380,1.000006
2454966.023814,1.000134
2454966.044248,0.999891
2454966.064683,0.999989
2454966.085117,1.000015
2454966.105552,1.000015
2454966.125986,0.999960
2454966.146421,1.000023
2454966.166855,0.999935
2454966.187289,0.999896
2454966.207724,1.000014
2454966.228158,1.000139
