,HJD,Detr_Norm_Flux
675,2454968.659856,1.000054
676,2454968.680291,
677,2454968.700725,0.9998239999999999
678,2454968.721159,0.999819
679,2454968.741594,
680,2454968.762028,0.999985
681,2454968.782463,0.9999129999999999
682,2454968.802897,1.000081
683,2454968.823332,0.9999819999999999
684,2454968.843766,0.9998739999999999
685,2454968.8642,1.000059
686,2454968.884635,1.000126
687,2454968.905069,0.999862
688,2454968.925504,0.999764
689,2454968.945938,0.999858
690,2454968.966373,
691,2454968.986807,
692,2454969.007241,0.999992
693,2454969.027676,0.9998229999999999
694,2454969.04811,1.000033
695,2454969.068545,1.000114
696,2454969.088979,0.9999889999999999
697,2454969.109414,
698,2454969.129848,1.0000360000000001
699,2454969.150282,1.000008
700,2454969.170717,0.9999129999999999
701,2454969.1911509996,0.999915
702,2454969.211586,1.000009
703,2454969.23202,0.9999370000000001
704,2454969.252455,
705,2454969.272889,0.999942
706,2454969.293323,1.000039
707,2454969.3137580003,0.9998790000000001
708,2454969.334192,
709,2454969.354627,1.0000149999999999
710,2454969.375061,1.0000200000000001
711,2454969.395496,0.999983
712,2454969.41593,1.000142
713,2454969.436365,
714,2454969.456799,
715,2454969.477233,0.99995
716,2454969.497668,
717,2454969.538537,0.9998940000000001
718,2454969.558971,0.9997309999999999
719,2454969.579406,0.999791
720,2454969.5998400003,1.0000069999999999
721,2454969.6202740003,1.000016
722,2454969.640709,1.000025
723,2454969.6611430002,0.999768
724,2454969.681578,0.9999540000000001
725,2454969.7020119997,0.999977
726,2454969.722447,
727,2454969.742881,
728,2454969.763316,
729,2454969.78375,0.999873
730,2454969.804184,
731,2454969.824619,0.9999020000000001
732,2454969.845053,1.000098
733,2454969.865488,1.000051
734,2454969.8859220003,1.000057
735,2454969.906357,0.999826
736,2454969.926791,0.999898
737,2454969.947225,0.999978
738,2454969.9676599996,
739,2454969.9880939997,
740,2454970.008529,1.0001149999999999
741,2454970.028963,1.0001229999999999
742,2454970.049398,
743,2454970.069832,0.9998459999999999
744,2454970.090266,0.9999620000000001
745,2454970.110701,1.000063
746,2454970.131135,0.9999319999999999
747,2454970.15157,1.000211
748,2454970.1720040003,0.999969
749,2454970.192439,
750,2454970.212873,0.999958
751,2454970.233308,
752,2454970.2537419996,1.000016
753,2454970.2741759997,0.999958
754,2454970.294611,0.9998600000000001
755,2454970.315045,1.000031
756,2454970.33548,1.000026
757,2454970.355914,1.000032
758,2454970.3967830003,1.0000639999999998
759,2454970.417217,1.0000850000000001
760,2454970.437652,0.9998450000000001
